t_s,phase,frame,adapt_on,drift,drift_frac,err_masked_deg,err_leg_deg,err_all_deg,act_dev_max,dev_clamped,loop_ms
3.4810,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.19
3.5011,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.25
3.5209,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.77
3.5406,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.12
3.5610,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.45
3.5811,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.33
3.6002,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.45
3.6210,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.66
3.6401,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.11
3.6610,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.00
3.6809,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.99
3.7011,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.42
3.7210,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.01
3.7401,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.27
3.7611,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.23
3.7801,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.00
3.8008,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.87
3.8211,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.33
3.8402,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,15.39
3.8609,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.98
3.8801,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,4.11
3.9009,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.97
3.9209,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.96
3.9403,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.35
3.9609,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.59
3.9810,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.06
4.0014,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.43
4.0208,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,7.66
4.0403,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.33
4.0611,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.67
4.0811,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.12
4.1003,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.36
4.1209,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.77
4.1404,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.45
4.1609,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,3.58
4.1811,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.28
4.2008,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.68
4.2209,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.10
4.2404,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.83
4.2608,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.73
4.2808,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.32
4.3011,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.99
4.3209,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.70
4.3403,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.00
4.3610,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.83
4.3809,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.15
4.4011,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.30
4.4209,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.88
4.4427,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,12.12
4.4609,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.21
4.4801,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.23
4.5008,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.01
4.5206,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.05
4.5411,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.95
4.5608,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.12
4.5801,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.48
4.6010,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.69
4.6208,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.80
4.6404,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,13.33
4.6609,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.66
4.6809,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.33
4.7003,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.28
4.7210,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.72
4.7414,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.95
4.7611,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.57
4.7810,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.91
4.8009,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.14
4.8208,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.17
4.8418,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.31
4.8608,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.23
4.8808,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.13
4.9016,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.59
4.9208,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,14.79
4.9404,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,12.05
4.9610,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,12.49
4.9808,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,12.23
5.0002,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.88
5.0209,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.88
5.0402,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.96
5.0601,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.86
5.0810,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.70
5.1007,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.00
5.1210,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.41
5.1403,settle,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.86
